Review #,Brand,Style,Country,Stars
2515,Courtyard,Business,First,1.5
2514,Courtyard,English,Second,1.5
2513,Mac Field,Philosophy,Fourth,1.5
2512,Grille,Mathematics,Second,1.5
2511,Grille,Physics,First,1.5
2510,Noyce lounge,Computer Science,Fourth,1.5
2509,Noyce Science Center room,Chemistry,Third,1.5
2508,Burling Library,Economics,Second,1.5
2507,JRC room,Business,Fourth,1.5
2506,Noyce Science Center room,Psychology,Third,1.5
2505,Mac Field,Biology,First,1.5
2504,HSSC room,Sociology,Second,1.5
2503,HSSC lounge,Economics,Fourth,1.5
2502,Noyce lounge,Business,Second,1.5
2501,Courtyard,Psychology,First,1.5
2500,Mac Field,English,Fourth,1.5
2499,Grille,Philosophy,Third,1.5
2498,Noyce Science Center room,Mathematics,Second,1.5
2497,JRC room,Biology,Fourth,1.5
2496,HSSC room,Computer Science,Third,1.5
2495,HSSC lounge,Psychology,First,1.5
2494,Noyce Science Center room,Biology,Second,1.5
2493,JRC room,Economics,Fourth,1.5
2492,Mac Field,Political Science,Second,1.5
2491,Mac Field,History,First,1.5
2490,HSSC room,English,Fourth,1.5
2489,Mac Field,Philosophy,Third,1.5
2488,Grille,Mathematics,Second,1.5
2487,JRC room,Physics,Fourth,1.5
2486,Noyce Science Center room,Computer Science,Third,1.5
2485,Mac Field,Chemistry,First,1.5
2484,Noyce lounge,Economics,Second,1.5
2483,HSSC room,Biology,Fourth,1.5
2482,HSSC lounge,History,Second,1.5
2481,HSSC room,Physics,First,1.5
2480,Mac Field,Computer Science,Fourth,1.5
2479,HSSC lounge,Chemistry,Third,1.5
2478,Mac Field,Physics,Second,1.5
2477,Mac Field,History,Fourth,1.5
2476,Noyce lounge,Physics,Third,1.5
2475,Mac Field,Political Science,First,1.5
2474,Noyce lounge,Computer Science,Second,1.5
2473,Mac Field,Political Science,Fourth,1.5
2472,Burling Library,Biology,Second,1.5
2471,JRC room,Sociology,First,1.5
2470,Grille,Economics,Fourth,1.5
2469,Noyce lounge,Business,Third,1.5
2468,HSSC room,Psychology,Second,1.5
2467,HSSC lounge,English,Fourth,1.5
2466,HSSC room,Philosophy,Third,1.5
2465,Courtyard,Mathematics,First,1.5
2464,Mac Field,Biology,Second,1.5
2463,HSSC lounge,Computer Science,Fourth,1.5
2462,JRC room,Psychology,Second,1.5
2461,Courtyard,Biology,First,1.5
2460,Courtyard,Economics,Fourth,1.5
2459,Mac Field,Political Science,Third,1.5
2458,Grille,History,Second,1.5
2457,Grille,English,Fourth,1.5
2456,Noyce lounge,Philosophy,Third,1.5
2455,Noyce Science Center room,Mathematics,First,1.5
2454,Burling Library,Physics,Second,1.5
2453,JRC room,Computer Science,Fourth,1.5
2452,Noyce Science Center room,Chemistry,Second,1.5
2451,Mac Field,Economics,First,1.5
2450,HSSC room,Business,Fourth,1.5
2449,HSSC lounge,English,Third,1.5
2448,Noyce lounge,Philosophy,Second,1.5
2447,Courtyard,Mathematics,Fourth,1.5
2446,Mac Field,Physics,Third,1.5
2445,Grille,Computer Science,First,1.5
2444,Noyce Science Center room,Chemistry,Second,1.5
2443,JRC room,Economics,Fourth,1.5
2442,HSSC room,Business,Second,1.5
2441,HSSC lounge,Psychology,First,1.5
2440,Noyce Science Center room,Biology,Fourth,1.5
2439,JRC room,Sociology,Third,1.5
2438,Mac Field,Economics,Second,1.5
2437,Mac Field,Business,Fourth,1.5
2436,HSSC room,Psychology,Third,1.5
2435,Mac Field,English,First,1.5
2434,Grille,Philosophy,Second,1.5
2433,JRC room,Mathematics,Fourth,1.5
2432,Noyce Science Center room,Biology,Second,1.5
2431,Mac Field,Computer Science,First,1.5
2430,Noyce lounge,Psychology,Fourth,1.5
2429,HSSC room,Biology,Third,1.5
2428,HSSC lounge,Economics,Second,1.5
2427,HSSC room,Political Science,Fourth,1.5
2426,Mac Field,History,Third,1.5
2425,HSSC lounge,English,First,1.5
2424,Mac Field,Philosophy,Second,1.5
2423,Mac Field,Mathematics,Fourth,1.5
2422,Noyce lounge,Physics,Second,1.5
2421,Mac Field,Computer Science,First,1.5
2420,Noyce lounge,Chemistry,Fourth,1.5
2419,Mac Field,Economics,Third,1.5
2418,Burling Library,Business,Second,1.5
2417,JRC room,English,Fourth,1.5
2416,Grille,Philosophy,Third,1.5
2415,Noyce lounge,Mathematics,First,1.5
2414,HSSC room,Physics,Second,1.5
2413,HSSC lounge,Computer Science,Fourth,1.5
2412,HSSC room,Chemistry,Second,1.5
2411,Courtyard,Economics,First,1.5
2410,Mac Field,Business,Fourth,1.5
2409,HSSC lounge,Psychology,Third,1.5
2408,JRC room,Biology,Second,1.5
2407,Courtyard,Sociology,Fourth,1.5
2406,Courtyard,Economics,Third,1.5
2405,Mac Field,Business,First,4
2404,Grille,Psychology,Second,5
2403,Grille,English,Fourth,4.75
2402,Noyce lounge,Philosophy,Second,3.75
2401,Noyce Science Center room,Mathematics,First,5
2400,Burling Library,Biology,Fourth,5
2399,JRC room,Computer Science,Third,4
2398,Noyce Science Center room,Psychology,Second,1
2397,Mac Field,Biology,Fourth,4
2396,HSSC room,Economics,Third,3.25
2395,HSSC lounge,Political Science,First,4.25
2394,Noyce lounge,History,Second,3.75
2393,Courtyard,English,Fourth,3
2392,Mac Field,Philosophy,Second,5
2391,Grille,Mathematics,First,5
2390,Noyce Science Center room,Physics,Fourth,3.75
2389,JRC room,Computer Science,Third,4
2388,HSSC room,Chemistry,Second,4.25
2387,HSSC lounge,Economics,Fourth,3.5
2386,Noyce Science Center room,Biology,Third,4
2385,JRC room,History,First,4.75
2384,Mac Field,Physics,Second,4.25
2383,Mac Field,Computer Science,Fourth,3.5
2382,HSSC room,Chemistry,Second,0.5
2381,Mac Field,Physics,First,4.75
2380,Grille,History,Fourth,3.75
2379,JRC room,Physics,Third,2.5
2378,Noyce Science Center room,Political Science,Second,4.5
2377,Mac Field,Computer Science,Fourth,5
2376,Noyce lounge,Political Science,Third,3.25
2375,HSSC room,Biology,First,5
2374,HSSC lounge,Sociology,Second,4.5
2373,HSSC room,Economics,Fourth,4.5
2372,Mac Field,Business,Second,4
2371,HSSC lounge,Psychology,First,3.5
2370,Mac Field,English,Fourth,4.5
2369,Mac Field,Philosophy,Third,4.25
2368,Noyce lounge,Mathematics,Second,3.75
2367,Mac Field,Biology,Fourth,4
2366,Noyce lounge,Computer Science,Third,5
2365,Mac Field,Psychology,First,5
2364,Burling Library,Biology,Second,4
2363,JRC room,Economics,Fourth,4
2362,Grille,Political Science,Second,4
2361,Noyce lounge,History,First,5
2360,HSSC room,English,Fourth,2
2359,HSSC lounge,Philosophy,Third,2
2358,HSSC room,Mathematics,Second,4
2357,Courtyard,Physics,Fourth,5
2356,Mac Field,Computer Science,Third,4
2355,HSSC lounge,Chemistry,First,4
2354,JRC room,Economics,Second,5
2353,Courtyard,Business,Fourth,4
2352,Courtyard,English,Second,1
2351,Mac Field,Philosophy,First,4
2350,Grille,Mathematics,Fourth,4
2349,Grille,Physics,Third,3
2348,Noyce lounge,Computer Science,Second,3
2347,Noyce Science Center room,Chemistry,Fourth,3
2346,Burling Library,Economics,Third,1
2345,JRC room,Business,First,5
2344,Noyce Science Center room,Psychology,Second,4
2343,Mac Field,Biology,Fourth,4
2342,HSSC room,Sociology,Second,4
2341,HSSC lounge,Economics,First,4
2340,Noyce lounge,Business,Fourth,4
2339,Courtyard,Psychology,Third,3
2338,Mac Field,English,Second,4
2337,Grille,Philosophy,Fourth,3
2336,Noyce Science Center room,Mathematics,Third,3
2335,JRC room,Biology,First,5
2334,HSSC room,Computer Science,Second,4
2333,HSSC lounge,Psychology,Fourth,4
2332,Noyce Science Center room,Biology,Second,4
2331,JRC room,Economics,First,4
2330,Mac Field,Political Science,Fourth,4
2329,Mac Field,History,Third,5
2328,HSSC room,English,Second,3
2327,Mac Field,Philosophy,Fourth,4
2326,Grille,Mathematics,Third,4
2325,JRC room,Physics,First,4
2324,Noyce Science Center room,Computer Science,Second,5
2323,Mac Field,Chemistry,Fourth,5
2322,Noyce lounge,Economics,Second,3
2321,HSSC room,Business,First,5
2320,HSSC lounge,English,Fourth,4
2319,HSSC room,Philosophy,Third,3.5
2318,Mac Field,Mathematics,Second,5
2317,HSSC lounge,Physics,Fourth,4
2316,Mac Field,Computer Science,Third,5
2315,Mac Field,Chemistry,First,3
2314,Noyce lounge,Economics,Second,4
2313,Mac Field,Business,Fourth,3.5
2312,Noyce lounge,Psychology,Second,5
2311,Mac Field,Biology,First,3.8
2310,Burling Library,Sociology,Fourth,4
2309,JRC room,Economics,Third,4
2308,Grille,Business,Second,4
2307,Noyce lounge,Psychology,Fourth,4
2306,HSSC room,English,Third,4
2305,HSSC lounge,Philosophy,First,4
2304,HSSC room,Mathematics,Second,5
2303,Courtyard,Biology,Fourth,3
2302,Mac Field,Computer Science,Second,5
2301,HSSC lounge,Psychology,First,3
2300,JRC room,Biology,Fourth,4
2299,Courtyard,Economics,Third,3
2298,Courtyard,Political Science,Second,4
2297,Mac Field,History,Fourth,3
2296,Grille,English,Third,3
2295,Grille,Philosophy,First,4
2294,Noyce lounge,Mathematics,Second,4
2293,Noyce Science Center room,Physics,Fourth,5
2292,Burling Library,Computer Science,Second,5
2291,JRC room,Chemistry,First,4
2290,Noyce Science Center room,Economics,Fourth,5
2289,Mac Field,Biology,Third,4
2288,HSSC room,History,Second,4
2287,HSSC lounge,Physics,Fourth,0
2286,Noyce lounge,Computer Science,Third,4
2285,Courtyard,Chemistry,First,3
2284,Mac Field,Physics,Second,4
2283,Grille,History,Fourth,5
2282,Noyce Science Center room,Physics,Second,5
2281,JRC room,Political Science,First,4
2280,HSSC room,Computer Science,Fourth,4
2279,HSSC lounge,Political Science,Third,5
2278,Noyce Science Center room,Biology,Second,5
2277,JRC room,Sociology,Fourth,3
2276,Mac Field,Economics,Third,3
2275,Mac Field,Business,First,4
2274,HSSC room,Psychology,Second,4
2273,Mac Field,English,Fourth,4
2272,Grille,Philosophy,Second,4
2271,JRC room,Mathematics,First,5
2270,Noyce Science Center room,Biology,Fourth,4
2269,Mac Field,Computer Science,Third,4
2268,Noyce lounge,Psychology,Second,5
2267,HSSC room,Biology,Fourth,2
2266,HSSC lounge,Economics,Third,4
2265,HSSC room,Political Science,First,3
2264,Mac Field,History,Second,1
2263,HSSC lounge,English,Fourth,4
2262,Mac Field,Philosophy,Second,5
2261,Mac Field,Mathematics,First,4
2260,Noyce lounge,Physics,Fourth,5
2259,Mac Field,Computer Science,Third,3.75
2258,Noyce lounge,Chemistry,Second,4.3
2257,Burling Library,Economics,Fourth,2.3
2256,JRC room,Business,Third,3
2255,Grille,English,First,5
2254,Noyce lounge,Philosophy,Second,3
2253,HSSC room,Mathematics,Fourth,4
2252,HSSC lounge,Physics,Second,5
2251,HSSC room,Computer Science,First,4
2250,Courtyard,Chemistry,Fourth,4
2249,Mac Field,Economics,Third,4
2248,HSSC lounge,Business,Second,5
2247,JRC room,Psychology,Fourth,5
2246,Courtyard,Biology,Third,4
2245,Courtyard,Sociology,First,4
2244,Mac Field,Economics,Second,4
2243,Grille,Business,Fourth,4
2242,Grille,Psychology,Second,3
2241,Noyce lounge,English,First,4
2240,Noyce Science Center room,Philosophy,Fourth,3
2239,Burling Library,Mathematics,Third,4
2238,JRC room,Biology,Second,1
2237,Noyce Science Center room,Computer Science,Fourth,5
2236,Mac Field,Psychology,Third,4
2235,HSSC room,Biology,First,4
2234,HSSC lounge,Economics,Second,5
2233,Noyce lounge,Political Science,Fourth,4
2232,Courtyard,History,Second,5
2231,Mac Field,English,First,4
2230,Grille,Philosophy,Fourth,4
2229,Noyce Science Center room,Mathematics,Third,4
2228,JRC room,Physics,Second,5
2227,HSSC room,Computer Science,Fourth,4
2226,HSSC lounge,Chemistry,Third,3
2225,Noyce Science Center room,Economics,First,4
2224,JRC room,Business,Second,4
2223,Mac Field,English,Fourth,4
2222,Mac Field,Philosophy,Second,5
2221,HSSC room,Mathematics,First,5
2220,Mac Field,Physics,Fourth,5
2219,Grille,Computer Science,Third,1
2218,JRC room,Chemistry,Second,4
2217,Noyce Science Center room,Economics,Fourth,5
2216,Mac Field,Business,Third,3
2215,Noyce lounge,Psychology,First,5
2214,HSSC room,Biology,Second,4
2213,HSSC lounge,Sociology,Fourth,4
2212,HSSC room,Economics,Second,4
2211,Mac Field,Business,First,3
2210,HSSC lounge,Psychology,Fourth,4
2209,Mac Field,English,Third,5
2208,Mac Field,Philosophy,Second,0
2207,Noyce lounge,Mathematics,Fourth,3
2206,Mac Field,Biology,Third,5
2205,Noyce lounge,Computer Science,First,4
2204,Mac Field,Psychology,Second,4
2203,Burling Library,Biology,Fourth,4
2202,JRC room,Economics,Second,4
2201,Grille,Political Science,First,2
2200,Noyce lounge,History,Fourth,5
2199,HSSC room,English,Third,3
2198,HSSC lounge,Philosophy,Second,3
2197,HSSC room,Mathematics,Fourth,5
2196,Courtyard,Physics,Third,3.3
2195,Mac Field,Computer Science,First,5
2194,HSSC lounge,Chemistry,Second,4
2193,JRC room,Economics,Fourth,3
2192,Courtyard,Biology,Second,5
2191,Courtyard,History,First,4
2190,Mac Field,Physics,Fourth,4.75
2189,Grille,Computer Science,Third,4
2188,Grille,Chemistry,Second,2.5
2187,Noyce lounge,Physics,Fourth,5
2186,Noyce Science Center room,History,Third,4
2185,Burling Library,Physics,First,5
2184,JRC room,Political Science,Second,2.75
2183,Noyce Science Center room,Computer Science,Fourth,3.5
2182,Mac Field,Political Science,Second,3.5
2181,HSSC room,Biology,First,4
2180,HSSC lounge,Sociology,Fourth,3
2179,Noyce lounge,Economics,Third,5
2178,Courtyard,Business,Second,4
2177,Mac Field,Psychology,Fourth,4
2176,Grille,English,Third,5
2175,Noyce Science Center room,Philosophy,First,4
2174,JRC room,Mathematics,Second,5
2173,HSSC room,Biology,Fourth,4
2172,HSSC lounge,Computer Science,Second,4
2171,Noyce Science Center room,Psychology,First,4
2170,JRC room,Biology,Fourth,4
2169,Mac Field,Economics,Third,4
2168,Mac Field,Political Science,Second,5
2167,HSSC room,History,Fourth,3
2166,Mac Field,English,Third,4
2165,Grille,Philosophy,First,3
2164,JRC room,Mathematics,Second,5
2163,Noyce Science Center room,Physics,Fourth,4
2162,Mac Field,Computer Science,Second,5
2161,Noyce lounge,Chemistry,First,5
2160,HSSC room,Economics,Fourth,5
2159,HSSC lounge,Business,Third,3
2158,HSSC room,English,Second,5
2157,Mac Field,Philosophy,Fourth,4
2156,HSSC lounge,Mathematics,Third,2
2155,Mac Field,Physics,First,4
2154,Mac Field,Computer Science,Second,4
2153,Noyce lounge,Chemistry,Fourth,4
2152,Mac Field,Economics,Second,5
2151,Noyce lounge,Business,First,5
2150,Mac Field,Psychology,Fourth,3
2149,Burling Library,Biology,Third,5
2148,JRC room,Sociology,Second,5
2147,Grille,Economics,Fourth,3
2146,Noyce lounge,Business,Third,3
2145,HSSC room,Psychology,First,3
2144,HSSC lounge,English,Second,4
2143,HSSC room,Philosophy,Fourth,3
2142,Courtyard,Mathematics,Second,4
2141,Mac Field,Biology,First,5
2140,HSSC lounge,Computer Science,Fourth,5
2139,JRC room,Psychology,Third,4
2138,Courtyard,Biology,Second,4
2137,Courtyard,Economics,Fourth,4
2136,Mac Field,Political Science,Third,4
2135,Grille,History,Fourth,2
2134,Grille,English,Third,4
2133,Noyce lounge,Philosophy,Second,5
2132,Noyce Science Center room,Mathematics,Fourth,5
2131,Burling Library,Physics,Third,4
2130,JRC room,Computer Science,First,4
2129,Noyce Science Center room,Chemistry,Second,5
2128,Mac Field,Economics,Fourth,4
2127,HSSC room,Business,Second,2.25
2126,HSSC lounge,English,First,5
2125,Noyce lounge,Philosophy,Fourth,4
2124,Courtyard,Mathematics,Third,3.5
2123,Mac Field,Physics,Second,5
2122,Grille,Computer Science,Fourth,5
2121,Noyce Science Center room,Chemistry,Third,4
2120,JRC room,Economics,First,3.5
2119,HSSC room,Business,Second,3.5
2118,HSSC lounge,Psychology,Fourth,3.25
2117,Noyce Science Center room,Biology,Second,4
2116,JRC room,Sociology,First,4
2115,Mac Field,Economics,Fourth,4
2114,Mac Field,Business,Third,3.5
2113,HSSC room,Psychology,Second,4
2112,Mac Field,English,Fourth,4
2111,Grille,Philosophy,Third,3.75
2110,JRC room,Mathematics,First,3
2109,Noyce Science Center room,Biology,Second,4.3
2108,Mac Field,Computer Science,Fourth,1
2107,Noyce lounge,Psychology,Second,4.5
2106,HSSC room,Biology,First,3.5
2105,HSSC lounge,Economics,Fourth,3
2104,HSSC room,Political Science,Third,4
2103,Mac Field,History,Second,0
2102,HSSC lounge,English,Fourth,5
2101,Mac Field,Philosophy,Third,4
2100,Mac Field,Mathematics,First,4
2099,Noyce lounge,Physics,Second,4
2098,Mac Field,Computer Science,Fourth,5
2097,Noyce lounge,Chemistry,Second,5
2096,Mac Field,Economics,First,4
2095,Burling Library,Biology,Fourth,5
2094,JRC room,History,Third,5
2093,Grille,Physics,Second,2
2092,Noyce lounge,Computer Science,Fourth,4
2091,HSSC room,Chemistry,Third,5
2090,HSSC lounge,Physics,First,5
2089,HSSC room,History,Second,5
2088,Courtyard,Physics,Fourth,4
2087,Mac Field,Political Science,Second,4
2086,HSSC lounge,Computer Science,First,5
2085,JRC room,Political Science,Fourth,5
2084,Courtyard,Biology,Third,5
2083,Courtyard,Sociology,Second,5
2082,Mac Field,Economics,Fourth,4
2081,Grille,Business,Third,4
2080,Grille,Psychology,First,4
2079,Noyce lounge,English,Second,5
2078,Noyce Science Center room,Philosophy,Fourth,4
2077,Burling Library,Mathematics,Second,5
2076,JRC room,Biology,First,3.75
2075,Noyce Science Center room,Computer Science,Fourth,4.5
2074,Mac Field,Psychology,Third,3.5
2073,HSSC room,Biology,Second,4
2072,HSSC lounge,Economics,Fourth,5
2071,Noyce lounge,Political Science,Third,5
2070,Courtyard,History,First,1.75
2069,Mac Field,English,Second,3.75
2068,Grille,Philosophy,Fourth,5
2067,Noyce Science Center room,Mathematics,Second,4.5
2066,JRC room,Physics,First,5
2065,HSSC room,Computer Science,Fourth,3
2064,HSSC lounge,Chemistry,Third,5
2063,Noyce Science Center room,Economics,Second,3.25
2062,JRC room,Business,Fourth,3.75
2061,Mac Field,English,Third,4.25
2060,Mac Field,Philosophy,First,5
2059,HSSC room,Mathematics,Second,2.5
2058,Mac Field,Physics,Fourth,3.75
2057,Grille,Computer Science,Second,3.75
2056,JRC room,Chemistry,First,0
2055,Noyce Science Center room,Economics,Fourth,5
2054,Mac Field,Business,Third,3.25
2053,Noyce lounge,Psychology,Second,3.75
2052,HSSC room,Biology,Fourth,3.5
2051,HSSC lounge,Sociology,Third,3.5
2050,HSSC room,Economics,First,5
2049,Mac Field,Business,Second,4
2048,HSSC lounge,Psychology,Fourth,3.8
2047,Mac Field,English,Second,5
2046,Mac Field,Philosophy,First,4
2045,Noyce lounge,Mathematics,Fourth,3.5
2044,Mac Field,Biology,Third,3
2043,Noyce lounge,Computer Science,Second,5
2042,Mac Field,Psychology,Fourth,4.3
2041,Burling Library,Biology,Third,4.5
2040,JRC room,Economics,First,5
2039,Grille,Political Science,Second,5
2038,Noyce lounge,History,Fourth,1.5
2037,HSSC room,English,Second,3.5
2036,HSSC lounge,Philosophy,First,4.25
2035,HSSC room,Mathematics,Fourth,3.5
2034,Courtyard,Physics,Third,3.25
2033,Mac Field,Computer Science,Second,2.5
2032,HSSC lounge,Chemistry,Fourth,3.75
2031,JRC room,Economics,Third,5
2030,Courtyard,Business,First,3.75
2029,Courtyard,English,Second,2
2028,Mac Field,Philosophy,Fourth,3.5
2027,Grille,Mathematics,Second,5
2026,Grille,Physics,First,4.75
2025,Noyce lounge,Computer Science,Fourth,2
2024,Noyce Science Center room,Chemistry,Third,2.5
2023,Burling Library,Economics,Second,0
2022,JRC room,Business,Fourth,3
2021,Noyce Science Center room,Psychology,Third,5
2020,Mac Field,Biology,First,3.5
2019,HSSC room,Sociology,Second,3.75
2018,HSSC lounge,Economics,Fourth,4
2017,Noyce lounge,Business,Second,0
2016,Courtyard,Psychology,First,3.5
2015,Mac Field,English,Fourth,5
2014,Grille,Philosophy,Third,4.5
2013,Noyce Science Center room,Mathematics,Second,3.5
2012,JRC room,Biology,Fourth,2
2011,HSSC room,Computer Science,Third,2
2010,HSSC lounge,Psychology,First,3.75
2009,Noyce Science Center room,Biology,Second,3
2008,JRC room,Economics,Fourth,3.5
2007,Mac Field,Political Science,Second,3.75
2006,Mac Field,History,First,3.75
2005,HSSC room,English,Fourth,4.5
2004,Mac Field,Philosophy,Third,3.75
2003,Grille,Mathematics,Second,5
2002,JRC room,Physics,Fourth,3.8
2001,Noyce Science Center room,Computer Science,Third,4
2000,Mac Field,Chemistry,First,5
1999,Noyce lounge,Economics,Second,5
1998,HSSC room,Biology,Fourth,5
1997,HSSC lounge,History,Second,4.3
1996,HSSC room,Physics,First,4
1995,Mac Field,Computer Science,Fourth,5
1994,HSSC lounge,Chemistry,Third,5
1993,Mac Field,Physics,Second,5
1992,Mac Field,History,Fourth,4.5
1991,Noyce lounge,Physics,Third,5
1990,Mac Field,Political Science,First,5
1989,Noyce lounge,Computer Science,Second,5
1988,Mac Field,Political Science,Fourth,3.5
1987,Burling Library,Biology,Second,4.5
1986,JRC room,Sociology,First,4.25
1985,Grille,Economics,Fourth,5
1984,Noyce lounge,Business,Third,5
1983,HSSC room,Psychology,Second,4
1982,HSSC lounge,English,Fourth,4
1981,HSSC room,Philosophy,Third,5
1980,Courtyard,Mathematics,First,3.5
1979,Mac Field,Biology,Second,3
1978,HSSC lounge,Computer Science,Fourth,5
1977,JRC room,Psychology,Second,5
1976,Courtyard,Biology,First,4.25
1975,Courtyard,Economics,Fourth,3.25
1974,Mac Field,Political Science,Third,5
1973,Grille,History,Second,4.25
1972,Grille,English,Fourth,2.75
1971,Noyce lounge,Philosophy,Third,3.5
1970,Noyce Science Center room,Mathematics,First,5
1969,Burling Library,Physics,Second,4.75
1968,JRC room,Computer Science,Fourth,3.5
1967,Noyce Science Center room,Chemistry,Second,4.5
1966,Mac Field,Economics,First,3.75
1965,HSSC room,Business,Fourth,5
1964,HSSC lounge,English,Third,5
1963,Noyce lounge,Philosophy,Second,3.75
1962,Courtyard,Mathematics,Fourth,3.5
1961,Mac Field,Physics,Third,4.25
1960,Grille,Computer Science,First,4
1959,Noyce Science Center room,Chemistry,Second,4
1958,JRC room,Economics,Fourth,4
1957,HSSC room,Business,Second,4
1956,HSSC lounge,Psychology,First,0
1955,Noyce Science Center room,Biology,Fourth,4.75
1954,JRC room,Sociology,Third,2
1953,Mac Field,Economics,Second,5
1952,Mac Field,Business,Fourth,3.75
1951,HSSC room,Psychology,Third,4.25
1950,Mac Field,English,First,4
1949,Grille,Philosophy,Second,3.5
1948,JRC room,Mathematics,Fourth,1.5
1947,Noyce Science Center room,Biology,Second,5
1946,Mac Field,Computer Science,First,4.75
1945,Noyce lounge,Psychology,Fourth,3.5
1944,HSSC room,Biology,Third,5
1943,HSSC lounge,Economics,Second,5
1942,HSSC room,Political Science,Fourth,3.5
1941,Mac Field,History,Third,2.5
1940,HSSC lounge,English,First,5
1939,Mac Field,Philosophy,Second,5
1938,Mac Field,Mathematics,Fourth,5
1937,Noyce lounge,Physics,Second,3.75
1936,Mac Field,Computer Science,First,1
1935,Noyce lounge,Chemistry,Fourth,3.75
1934,Mac Field,Economics,Third,5
1933,Burling Library,Business,Second,4.5
1932,JRC room,English,Fourth,3.75
1931,Grille,Philosophy,Third,3.75
1930,Noyce lounge,Mathematics,First,0.25
1929,HSSC room,Physics,Second,3.5
1928,HSSC lounge,Computer Science,Fourth,3
1927,HSSC room,Chemistry,Second,3.5
1926,Courtyard,Economics,First,4
1925,Mac Field,Business,Fourth,5
1924,HSSC lounge,Psychology,Third,3.5
1923,JRC room,Biology,Second,0.5
1922,Courtyard,Sociology,Fourth,1.5
1921,Courtyard,Economics,Third,3.5
1920,Mac Field,Business,First,0.75
1919,Grille,Psychology,Second,4.5
1918,Grille,English,Fourth,3.5
1917,Noyce lounge,Philosophy,Second,0.25
1916,Noyce Science Center room,Mathematics,First,3
1915,Burling Library,Biology,Fourth,4.5
1914,JRC room,Computer Science,Third,5
1913,Noyce Science Center room,Psychology,Second,0
1912,Mac Field,Biology,Fourth,3.75
1911,HSSC room,Economics,Third,5
1910,HSSC lounge,Political Science,First,3
1909,Noyce lounge,History,Second,3.5
1908,Courtyard,English,Fourth,4.75
1907,Mac Field,Philosophy,Second,5
1906,Grille,Mathematics,First,3.5
1905,Noyce Science Center room,Physics,Fourth,3.5
1904,JRC room,Computer Science,Third,3
1903,HSSC room,Chemistry,Second,4.5
1902,HSSC lounge,Economics,Fourth,5
1901,Noyce Science Center room,Biology,Third,5
1900,JRC room,History,First,5
1899,Mac Field,Physics,Second,1.5
1898,Mac Field,Computer Science,Fourth,3
1897,HSSC room,Chemistry,Second,3.5
1896,Mac Field,Physics,First,3.5
1895,Grille,History,Fourth,5
1894,JRC room,Physics,Third,2.75
